file_path,analysis
AccessControlLogEntry.java,"YES, I found Data Class"
Preconditions.java,"NO, I did not find Data Class"
FileRefreshableDataSource.java,"NO, I did not find Data Class"
SaSecureUtil.java,"NO, I did not find Data Class"
ClassLoaderCommand.java,"NO, I did not find Data Class"
AclException.java,"NO, I did not find Data Class"
GeneralAppIdDecoder.java,"NO, I did not find Data Class"
DuplicateRemovedScheduler.java,"NO, I did not find Data Class"
SaTokenException.java,"NO, I did not find Data Class"
LinkedTreeMap.java,"NO, I did not find Data Class"
SocketIOChannelInitializer.java,"NO, I did not find Data Class"
JobGroupController.java,"NO, I did not find Data Class"
ApiException.java,"NO, I did not find Data Class"
SaOAuth2Template.java,"NO, I did not find Data Class"
ReplyMessageProcessorTest.java,"NO, I did not find Data Class"
NodeTraversor.java,"NO, I did not find Data Class"
DirectoryBrowserSupport.java,"YES, I found Data Class"
ExcelWriter.java,"NO, I did not find Data Class"
MethodInfo.java,"YES, I found Data Class"
ApolloDataSourceFactoryBean.java,"NO, I did not find Data Class"
UmsMemberService.java,"NO, I did not find Data Class"
BillboardParticleBatch.java,"NO, I did not find Data Class"
BrokerController.java,"NO, I did not find Data Class"
StringUtils.java,"NO, I did not find Data Class"
PacketEncoder.java,"NO, I did not find Data Class"
FastByteArrayOutputStream.java,"NO, I did not find Data Class"
BinaryRedisPipeline.java,"NO, I did not find Data Class"
LineTransformationOutputStream.java,"NO, I did not find Data Class"
RedissonObject.java,"NO, I did not find Data Class"
DokanyVolume.java,"NO, I did not find Data Class"
AnalysisContext.java,"YES, I found Data Class"
ClassLoaderModel.java,"YES, I found Data Class"
MethodRoadie.java,"NO, I did not find Data Class"
StubConnection.java,"NO, I did not find Data Class"
ExpandedProductParsedResult.java,"YES, I found Data Class"
SaFoxUtil.java,"NO, I did not find Data Class"
Stage.java,"NO, I did not find Data Class"
Finance.java,"NO, I did not find Data Class"
AdminBrokerProcessor.java,"NO, I did not find Data Class"
PreparedStatementHandler.java,"NO, I did not find Data Class"
SmsFlashPromotionProductRelationServiceImpl.java,"NO, I did not find Data Class"
PrefixPluginLogger.java,"NO, I did not find Data Class"
BitMatrix.java,"NO, I did not find Data Class"
JobTriggerPoolHelper.java,"NO, I did not find Data Class"
MigrationRunController.java,"NO, I did not find Data Class"
Internet.java,"NO, I did not find Data Class"
AllMembersSupplier.java,"NO, I did not find Data Class"
AwtCodec.java,"NO, I did not find Data Class"
OrderController.java,"NO, I did not find Data Class"
XxlJobInfoDao.java,"NO, I did not find Data Class"
ConnectionPool.java,"NO, I did not find Data Class"
LinkedHashMultimap.java,"NO, I did not find Data Class"
PropertyElf.java,"NO, I did not find Data Class"
PendingTransactionsDialog.java,"NO, I did not find Data Class"
JedisClusterTest.java,"NO, I did not find Data Class"
