file_path,analysis
AccessControlLogEntry.java,NO
Preconditions.java,NO
FileRefreshableDataSource.java,NO
SaSecureUtil.java,NO
ClassLoaderCommand.java,YES
AclException.java,NO
GeneralAppIdDecoder.java,NO
DuplicateRemovedScheduler.java,NO
SaTokenException.java,NO
LinkedTreeMap.java,NO
SocketIOChannelInitializer.java,YES
JobGroupController.java,NO
ApiException.java,NO
SaOAuth2Template.java,NO
ReplyMessageProcessorTest.java,NO
NodeTraversor.java,NO
DirectoryBrowserSupport.java,YES
ExcelWriter.java,NO
MethodInfo.java,NO
ApolloDataSourceFactoryBean.java,NO
UmsMemberService.java,NO
BillboardParticleBatch.java,NO
BrokerController.java,YES
StringUtils.java,NO
PacketEncoder.java,YES
FastByteArrayOutputStream.java,NO
BinaryRedisPipeline.java,NO
LineTransformationOutputStream.java,NO
RedissonObject.java,NO
DokanyVolume.java,NO
AnalysisContext.java,NO
ClassLoaderModel.java,NO
MethodRoadie.java,NO
StubConnection.java,NO
ExpandedProductParsedResult.java,NO
SaFoxUtil.java,NO
Stage.java,YES
Finance.java,NO
AdminBrokerProcessor.java,YES
PreparedStatementHandler.java,NO
SmsFlashPromotionProductRelationServiceImpl.java,NO
PrefixPluginLogger.java,NO
BitMatrix.java,NO
JobTriggerPoolHelper.java,NO
MigrationRunController.java,YES
Internet.java,NO
AllMembersSupplier.java,NO
AwtCodec.java,NO
OrderController.java,YES
XxlJobInfoDao.java,NO
ConnectionPool.java,NO
LinkedHashMultimap.java,NO
PropertyElf.java,NO
PendingTransactionsDialog.java,YES
JedisClusterTest.java,YES
RandomGenerator.java,NO
RouterNanoHTTPD.java,NO
JavassistProxyFactory.java,YES
ClusterConnectionManager.java,YES
RequestLimiter.java,NO
MockNamingService.java,NO
MethodVisitor.java,NO
FlowControllerV1.java,NO
DiagnosedStreamCorruptionException.java,NO
XMLConfigBuilder.java,YES
Lexeme.java,NO
DBeaverCore.java,YES
AztecCode.java,NO
EntryConfig.java,NO
ScriptProcessorBuilder.java,NO
MapTypeAdapterFactory.java,NO
AttributeNameHistoWalker.java,NO
PageModelExtractor.java,YES
TreeTypeAdapter.java,NO
Spider.java,NO
RandomService.java,NO
RuleContainer.java,NO
LocalCacheListener.java,YES
TransactionMQProducer.java,NO
PlainPermissionManager.java,NO
JSONTokener.java,NO
AndroidMusic.java,NO
WriteWorkbookHolder.java,NO
DefaultDateTypeAdapter.java,NO
AckSchedulerKey.java,NO
TableView.java,NO
HttpClientDownloader.java,YES
CN_QuantifierSegmenter.java,NO
CompareObjectsSettings.java,NO
