file_path,analysis
AccessControlLogEntry.java,"Step-by-step analysis:

1) Methods accessing foreign data
- AccessControlLogEntry(Map<String, Object> map) (constructor)
  - Calls map.get(...) repeatedly for keys COUNT, REASON, CONTEXT, OBJECT, USERNAME, AGE_SECONDS, CLIENT_INFO.
  - Casts the returned Objects to String/long and passes the CLIENT_INFO string into getMapFromRawClientInfo.
  - So this method accesses the java.util.Map passed in (and uses map.get many times).
- private Map<String, String> getMapFromRawClientInfo(String clientInfo)
  - Operates on the String parameter: clientInfo.split("" ""), entry.split(""=""), and creates a LinkedHashMap.
  - So it heavily uses java.lang.String facilities and java.util.Map/LinkedHashMap.
- toString()
  - Uses only this class’s fields (and String concatenation), no external object field access beyond standard API usage.

2) Do these methods use more data/methods from another class than from their own class?
- Constructor: it reads many values from the input Map (several map.get calls) to initialize its own fields. It uses the Map fairly extensively, but the purpose is to construct/populate this object from an external representation — using a Map here is expected. It does not repeatedly manipulate another object's internal state beyond reading values; it ultimately stores those values into its own fields.
- getMapFromRawClientInfo: this method primarily manipulates the input String and builds a Map to return. It does more work on the parameter (String parsing and Map construction) than on the instance's own fields — it does not access instance fields at all. So it shows more interest in the method parameter (String and Map construction) than the instance.

3) Are the accessed foreign attributes/methods concentrated in one or few classes?
- Yes. The foreign interactions are with core/JDK types: java.util.Map (and LinkedHashMap) and java.lang.String. They are not spread across many domain classes.

4) Potential misplacement
- Constructor: parsing an input Map to populate this class’s fields is exactly the constructor’s responsibility; it is appropriate to access the Map here. Moving the logic elsewhere (e.g., to a factory) is possible but not necessary — this class represents the parsed data, so constructor usage is reasonable.
- getMapFromRawClientInfo: this is a small helper that parses a Redis client-info string into a Map. It does not access this class’s fields and could be a static helper or put in a small parsing/util class, but it is also tightly related to the semantics of AccessControlLogEntry (parsing the CLIENT_INFO field). Its placement here is acceptable and probably clearer for encapsulation.

5) Summary judgment
- There are methods that read a lot from a foreign object: the constructor reads many entries from the provided Map and getMapFromRawClientInfo works primarily on its String parameter. However, these access patterns are natural for constructing and parsing this class’s data. The foreign accesses are limited to core library classes (Map, String) and not to another domain class whose data/model is being more heavily used than this class’s own fields.
- Therefore, I do not find convincing evidence of Feature Envy (i.e., methods being more interested in another domain class’s data/methods than their own).

NO, I did not find Feature Envy."
Preconditions.java,"Step-by-step analysis:

1) Methods accessing foreign data
- Many methods call methods from other classes (mainly Strings.lenientFormat and java.lang.String.valueOf). Examples:
  - checkArgument(boolean, String, Object...) and most of its overloads call lenientFormat(...)
  - checkState(boolean, String, Object...) and most of its overloads call lenientFormat(...)
  - checkNotNull(T, String, Object...) and most of its overloads call lenientFormat(...)
  - badElementIndex(...), badPositionIndex(...), badPositionIndexes(...) call lenientFormat(...) and in one branch call new IllegalArgumentException(...)
  - The static initializer calls Java8Usage.performCheck() and Logger.getLogger(...).log(...)

These are calls to other classes (Strings.lenientFormat, String.valueOf, Java8Usage, java.util.logging.Logger). There is no field access on other classes (no instance attribute access), only method calls (mostly static helpers).

2) Do these methods use more data/methods from another class than from their own class?
- No. The methods primarily operate on their own parameters and local primitives/objects, and only delegate formatting to Strings.lenientFormat or to String.valueOf. They do not fetch or manipulate many members of another class; they simply call a small set of formatting and logging helpers. So they do not use more of another class's data/methods than their own.

3) Few foreign classes vs many
- The external calls are concentrated in a very small set of classes: Strings (lenientFormat), java.lang.String (valueOf), Java8Usage (single static check), and java.util.logging.Logger. The foreign interactions are therefore limited to a few helper classes, not spread across many unrelated classes.

4) Potential misplacement
- The behavior in this file (precondition checking and message assembly) is cohesive and belongs in a utility Preconditions class. The calls to Strings.lenientFormat and String.valueOf are ordinary delegations to a formatting helper — they do not indicate that these methods should live in the Strings class (those are formatting helpers already). The static initializer’s call to Java8Usage.performCheck() is a compatibility check, appropriately placed in class initialization. There is no clear indication that any of these methods would be more appropriately placed in another class.

5) Summary judgment
- Based on the above, there are no methods that show the classic Feature Envy pattern (lots of access to another class's data/members and using that class's state more than their own). The methods are small, operate on their own parameters, and delegate a small number of formatting/logging calls to helper classes.

NO, I did not find Feature Envy — the file’s methods only delegate to a few helper methods (formatting/logging) but primarily operate on their own inputs, so they do not exhibit the characteristic “more interested in another class’s data than their own.”"
FileRefreshableDataSource.java,
SaSecureUtil.java,
ClassLoaderCommand.java,
AclException.java,"1. Methods Accessing Foreign Data:
- No methods in this file access many attributes or methods of another class. The constructors call the superclass constructors (super(), super(message), super(message, throwable)), and some methods accept or return String and int and use Throwable as a parameter in a constructor, but they do not access fields or call multiple methods of any other class.

2. More Interest in Foreign Data:
- Not applicable: the methods primarily set or return this class's own fields (status and code) or delegate to the superclass constructor. They do not use more data/methods from another class than from their own class.

3. Few Foreign Classes:
- The only external types referenced are java.lang.String, java.lang.Throwable and the superclass java.lang.RuntimeException. References are minimal (constructor delegation and parameter types) and not concentrated on inspecting or manipulating those external types' data.

4. Potential Misplacement:
- There is no indication any method would be more appropriately placed in another class. All methods operate on this class's own fields or perform normal exception-construction delegation to the superclass.

5. Summary Judgment:
- This class contains simple constructors, getters and setters that operate on its own fields and delegate to the superclass where appropriate. There are no methods showing the characteristic behavior of Feature Envy (heavy access to another class's data or API).

NO, I did not find Feature Envy"
GeneralAppIdDecoder.java,
DuplicateRemovedScheduler.java,"Step-by-step analysis:

1) Methods accessing foreign data
- push(Request request, Task task)
  - Accesses Request methods: request.getUrl() (twice).
  - Calls duplicatedRemover.isDuplicate(request, task) (DuplicateRemover).
  - Uses Task as an argument to the DuplicateRemover call (but does not call Task methods itself).
  - Uses logger (Logger) to log messages.
- shouldReserved(Request request)
  - Accesses Request static constant and method: Request.CYCLE_TRIED_TIMES and request.getExtra(...).
- noNeedToRemoveDuplicate(Request request)
  - Uses HttpConstant.Method.POST (static) and request.getMethod().
- getDuplicateRemover() / setDuplicateRemover(...)
  - Access the duplicatedRemover field (DuplicateRemover) and return/set it.

2) Do these methods use more data/methods from another class than from their own class?
- push: mixes use of its own state/methods and foreign data. It calls its own helper methods (shouldReserved, noNeedToRemoveDuplicate, pushWhenNoDuplicate), accesses its own field duplicatedRemover, and logs via its logger. It also calls request.getUrl() twice and duplicatedRemover.isDuplicate(...). The foreign accesses are limited (a few Request calls and one DuplicateRemover call) and are required to decide scheduling — not overwhelmingly more than use of own class data/behavior.
- shouldReserved: uses a single Request accessor (getExtra) and a Request constant. This is a small, single accessor check, not extensive use of Request internals.
- noNeedToRemoveDuplicate: uses one Request accessor (getMethod) and a static constant from HttpConstant. Again, limited foreign access.

Overall, none of these methods access substantially more methods/attributes of another class than they use of their own class’s behavior and fields.

3) Are accessed foreign attributes/methods concentrated in one or few classes?
- Yes. The foreign interactions are primarily with Request and DuplicateRemover (and a small use of HttpConstant and Logger). The foreign accesses are not spread widely across many unrelated classes.

4) Potential misplacement
- The logic in push (duplicate check + conditional push) is orchestration for the scheduler and relies on scheduler state (duplicatedRemover) and scheduler hooks (pushWhenNoDuplicate). It appears correctly placed in the scheduler abstraction.
- The small Request checks (shouldReserved and noNeedToRemoveDuplicate) are simple predicate helpers using Request accessors; they are lightweight and appropriate as scheduler-side decisions rather than being moved into Request or DuplicateRemover.

5) Summary judgment
- The file contains methods that access other classes (mainly Request and DuplicateRemover), but the access is limited, narrow, and appropriate for scheduler responsibilities. There is no clear example of a method that is substantially more interested in another class’s data than its own.

NO, I did not find Feature Envy — the methods interact with a few other classes as part of normal scheduler responsibilities, but they do not exhibit the heavy, misplaced use of another class’s internals that characterizes Feature Envy."
SaTokenException.java,"Step-by-step analysis:

1) Methods accessing foreign data:
- throwBy(boolean flag, String message): does not access another class's data/methods except calling the SaTokenException constructor (own class) and RuntimeException's behavior. No foreign-class calls.
- throwByNull(Object value, String message): calls SaFoxUtil.isEmpty(value) — a single static method call to the SaFoxUtil class. Other than that it constructs and throws a SaTokenException (own class).

2) More interest in foreign data:
- No. throwByNull uses one call to SaFoxUtil.isEmpty(value) and otherwise operates on its own parameters and creates its own exception. It does not access many members or methods of SaFoxUtil; usage of foreign data is minimal. The other methods use essentially only their own class/parameters.

3) Few foreign classes:
- Yes. Only one external class is referenced: cn.dev33.satoken.util.SaFoxUtil (and the standard RuntimeException as the superclass, which is not a sign of Feature Envy). There is no broad scattering across many foreign classes.

4) Potential misplacement:
- Unlikely. The static convenience method throwByNull performs a simple utility check (isEmpty) then throws this exception — keeping this helper close to the exception type is reasonable. There is no clear indication the method should be moved into SaFoxUtil; it is tied to throwing SaTokenException when a check fails.

5) Summary judgment:
- There are no methods that access many attributes or methods of another class or show stronger interest in another class's data than their own. The single foreign call (SaFoxUtil.isEmpty) is minimal and does not indicate Feature Envy.

NO, I did not find Feature Envy."
LinkedTreeMap.java,
