file_path,analysis
AccessControlLogEntry.java,"1. Inheritance Pattern:
- This class does not extend any explicit parent class; it implements the Serializable interface. (Implicit parent is java.lang.Object.)

2. Use of Inherited Functionality:
- The only inherited method overridden is toString() from Object. It does not call super.toString() or access any inherited protected/stateful members. There are no uses of super. or other parent-state interactions.

3. New/Independent Functionality:
- Yes. The class defines many own fields (count, reason, context, object, username, ageSeconds, clientInfo, logEntry), constants, a constructor that parses a Map, getters, and a private parsing helper getMapFromRawClientInfo(String). These represent its own data/behavior for ACL log entries.

4. Breadth of Subclass:
- The class is non-trivial: several fields, constants, getters, a parsing method, and a custom toString() — not a light extension.

5. Local Symptom Summary:
- Because this class does not extend a non-trivial parent (only Object) and implements its own full data/behavior, there is no evidence here of a subclass refusing a meaningful parent contract. The single override (toString) is self-contained and not a weak passthrough.

Final verdict:
NO, I did not find Refused Bequest. Evidence: the class does not extend another concrete superclass (only implements Serializable/implicitly extends Object) and implements its own fields/methods; only overrides toString()."
Preconditions.java,"1. Inheritance Pattern:  
   This file defines ""public final class Preconditions"" and it does not extend any other class (no ""extends"" clause).

2. Use of Inherited Functionality:  
   Not applicable — there is no superclass to inherit from in this file, so there are no overrides, no super. calls, and no interaction with inherited state.

3. New/Independent Functionality:  
   The class introduces many static utility methods (checkArgument, checkState, checkNotNull, index/position checks, etc.) and a static initialization block. Those are independent utility responsibilities, but they are not subclass-specific since this is not a subclass.

4. Breadth of Subclass:  
   Not applicable — the class is non-trivial (lots of methods/overloads) but it is not a subclass.

5. Local Symptom Summary:  
   There are no symptoms of Refused Bequest in this file because no inheritance is used; the clearest sign is simply the absence of a superclass.

NO, I did not find Refused Bequest."
FileRefreshableDataSource.java,"1. Inheritance Pattern:
- Yes. The class FileRefreshableDataSource<T> extends AutoRefreshDataSource<String, T>.

2. Use of Inherited Functionality:
- It meaningfully uses and overrides inherited behavior:
  - Overrides readSource(), isModified(), and close(). These are substantive overrides (readSource implements file reading logic; isModified checks file.lastModified; close clears buffer and calls super.close()).
  - Calls super.close() in close().
  - Uses inherited getProperty().updateValue(...) in firstLoad() to push loaded config into the parent-managed property.
- None of the overrides are trivial one-liners delegating only to super; they implement core, file-specific behavior.

3. New/Independent Functionality:
- Introduces several file-specific fields: buf, charset, file, lastModified (and constants for buffer/charset/refresh).
- Adds constructors and firstLoad(), plus file-reading logic in readSource(). These are specific responsibilities for reading and parsing a file source.

4. Breadth of Subclass:
- The subclass is non-trivial: multiple fields, multiple constructors, and several non-trivial methods. It is more than a light extension.

5. Local Symptom Summary:
- The subclass does not show strong symptoms of Refused Bequest. It implements required methods from the parent, interacts with inherited state (getProperty, super.close), and provides file-specific implementations for core behaviors (reading source, detecting modification). This looks like a proper specialization rather than a refusal to honor the parent’s contract.

Final verdict:
NO, I did not find Refused Bequest."
SaSecureUtil.java,"1. Inheritance Pattern:  
- This file defines class SaSecureUtil. It does not declare ""extends"" — it implicitly extends java.lang.Object.

2. Use of Inherited Functionality:  
- Not applicable: there are no instance methods, no overrides, and no calls to super.*. All functionality is provided via static methods and private static fields.

3. New/Independent Functionality:  
- Yes. The class introduces many cryptography-related fields and methods (Base64 encoder/decoder, MD5/SHA/AES/RSA utilities, key generation and helper byte/hex routines). These are self-contained utility responsibilities.

4. Breadth of Subclass:  
- The class is non-trivial (many fields and many methods covering multiple crypto domains). However it is not a subclass at all.

5. Local Symptom Summary:  
- Because SaSecureUtil does not extend any user-defined parent (only Object) there is no subclass-parent relationship to refuse. The class is a large, independent utility rather than a subclass misusing inherited behavior.

NO, I did not find Refused Bequest. (Reason: no inheritance beyond Object, so no subclass that could ""refuse"" a parent's bequest.)"
ClassLoaderCommand.java,"1. Inheritance Pattern:
- Yes. This file defines ""ClassLoaderCommand"" which extends the parent class AnnotatedCommand.

2. Use of Inherited Functionality:
- The class overrides the core lifecycle method: @Override public void process(CommandProcess process). That override is substantial (contains the main command logic) rather than a trivial one-liner. 
- There are no calls to super.process(...) or other super.* usages visible. No direct use of protected fields/members from AnnotatedCommand can be observed in this file (but we only have this file).

3. New/Independent Functionality:
- The subclass introduces many fields (isTree, hashCode, classLoaderClass, all, resource, includeReflectionClassLoader, listClassLoader, loadClass, isInterrupted, logger) and many helper methods (processClassLoaderStats, processClassLoaders, processResources, getAllClasses, getAllClassLoaderInfo, etc.) implementing classloader-specific behaviors (listing classloaders, resources, stats, building trees, filters, etc.). These are significant and specific responsibilities, but they are appropriate for a concrete command implementation.

4. Breadth of Subclass:
- Yes — the class is non-trivial: many fields, many private/static inner classes, and many helper methods. It is a full-featured command implementation rather than a simple marker.

5. Local Symptom Summary:
- The class does not show the classic symptom of Refused Bequest. It overrides the parent’s core abstract/contractual method (process) with substantial behavior appropriate to a command. While it adds a lot of new functionality, that is expected for a concrete command subclass and the override is meaningful rather than trivial.

Final verdict:
NO, I did not find Refused Bequest. Main reason: the subclass provides a substantial, meaningful override of the parent’s core method (process) and implements command-specific behavior expected from an AnnotatedCommand subclass."
AclException.java,"1. Inheritance Pattern:
- Yes. The file defines class AclException that extends RuntimeException.

2. Use of Inherited Functionality:
- It does not override any RuntimeException methods. The only interaction with the parent is via constructors that call super(...) to set the exception message/throwable. No use of super.method(...) beyond that, and no direct interaction with inherited protected state or behavior.

3. New/Independent Functionality:
- The subclass adds two fields (status, code) with corresponding getters/setters and constructors that initialize them. Those members represent extra metadata attached to the exception.

4. Breadth of Subclass:
- The class is small but non-trivial: a couple of fields, multiple constructors, and simple accessors. It is not a large class, but it does introduce its own state and API.

5. Local Symptom Summary:
- This subclass mostly relies on RuntimeException for exception behavior and only adds contextual fields (status, code). It does not ignore or contradict the parent's contract; the added functionality is typical for domain-specific exceptions.

NO, I did not find Refused Bequest — the class simply extends RuntimeException and adds contextual fields/constructors (typical for custom exceptions); it does not show the pattern of extending a class while ignoring or contradicting its responsibilities."
GeneralAppIdDecoder.java,"1. Inheritance Pattern:
- This file defines final class GeneralAppIdDecoder.
- It does not explicitly extend any other class (it only implicitly extends java.lang.Object).

2. Use of Inherited Functionality:
- There are no method overrides, no uses of super., and no interactions with inherited protected state — because the class does not subclass a non-Object type.

3. New/Independent Functionality:
- The class declares its own fields (information, current, buffer) and implements many decoding responsibilities: decodeAllCodes, decodeGeneralPurposeField, parseBlocks, parseNumericBlock, parseIsoIec646Block, parseAlphaBlock, many helper decode/isStill/... methods, etc. These are substantial, self-contained responsibilities for parsing/decoding bit arrays.

4. Breadth of Subclass:
- The class is non-trivial: dozens of methods and internal logic. It is a full-featured decoder, not a thin wrapper or marker.

5. Local Symptom Summary:
- Because this class does not extend a parent other than Object, it cannot exhibit Refused Bequest in this file. The code shows a standalone decoder with many proprietary fields and methods rather than a subclass ignoring a parent's contract.

NO, I did not find Refused Bequest — the class does not extend another class (no inherited API to refuse) and implements its own full decoding logic."
DuplicateRemovedScheduler.java,"NO, I did not find Refused Bequest

1. Inheritance Pattern:  
- This file defines an abstract class DuplicateRemovedScheduler that implements the Scheduler interface (it does not extend another concrete class). Parent type: Scheduler.

2. Use of Inherited Functionality:  
- It overrides the Scheduler.push(Request, Task) method (annotated with @Override) and provides non-trivial logic for duplicate filtering.  
- It does not call super. anywhere (there is no superclass implementation to delegate to).  
- The override is substantive (checks shouldReserved, noNeedToRemoveDuplicate, and duplicatedRemover.isDuplicate) rather than a trivial one-liner delegating to super.

3. New/Independent Functionality:  
- The class introduces its own state and behavior relevant to duplicate removal: a Logger, a DuplicateRemover field with getter/setter, and helper methods shouldReserved(Request), noNeedToRemoveDuplicate(Request), and pushWhenNoDuplicate(Request, Task). These represent specialization for duplicate-filtering scheduling, which aligns with the Scheduler role rather than being unrelated functionality.

4. Breadth of Subclass:  
- The class is non-trivial: it defines fields, multiple helper methods, and core push logic. It’s an abstract base intended to be extended (pushWhenNoDuplicate is empty/protected for subclasses to implement), so it provides shared behavior rather than being a tiny marker.

5. Local Symptom Summary:  
- The class specializes the Scheduler contract by implementing meaningful push behavior focused on duplicate removal, provides configuration (DuplicateRemover), and exposes hooks for subclasses. These are consistent uses of the inherited interface, not signs of refusing the parent's responsibilities.

Main evidence: meaningful override of push with duplicate-removal logic and added helper/state aligned with the Scheduler role — therefore not Refused Bequest."
SaTokenException.java,"1. Inheritance Pattern:
- Yes. The class SaTokenException extends RuntimeException.

2. Use of Inherited Functionality:
- It does not override any RuntimeException behavior (no overridden methods like getMessage(), etc.).  
- The only interactions with the parent are constructor delegations (super(message), super(cause), super(message, cause)), which are trivial and expected for an exception subclass. No use of super. fields or protected parent state is present.

3. New/Independent Functionality:
- It introduces a serialVersionUID and two static convenience methods: throwBy(boolean, String) and throwByNull(Object, String). These methods are small helpers that construct/throw SaTokenException under conditions. They are related to creating/throwing this exception, not a separate domain.

4. Breadth of Subclass:
- The class is small: three constructors, two static helpers, and one serialVersionUID field. This is a light extension rather than a large, unrelated feature set.

5. Local Symptom Summary:
- I do not see symptoms of Refused Bequest. The class provides trivial constructor delegation to the parent and a couple of exception-related helper methods; it does not introduce a broad, unrelated responsibility nor ignore the parent's contract.

Final verdict:
NO, I did not find Refused Bequest — only trivial constructor delegation to RuntimeException and small, exception-related helper methods are present."
LinkedTreeMap.java,"1. Inheritance Pattern:  
Yes. The file defines class LinkedTreeMap<K,V> extends AbstractMap<K,V> (and implements Serializable). The parent class is AbstractMap.

2. Use of Inherited Functionality:  
The subclass overrides many core AbstractMap methods (size(), get(), containsKey(), put(), clear(), remove(), entrySet(), keySet()). These overrides are substantial full implementations (not trivial one-liners or mere super.method() calls). It implements the Map contract rather than delegating to the parent.

3. New/Independent Functionality:  
Yes — it declares its own fields (comparator, root, size, modCount, header), a Node inner class, many tree-manipulation methods (find, removeInternal, rebalance, rotateLeft/rotateRight, etc.), iterators, EntrySet and KeySet classes, and serialization helper. However, this functionality is directly related to providing a tree-backed Map implementation (i.e., related to the parent's domain).

4. Breadth of Subclass:  
The subclass is non-trivial: numerous fields, internal classes, and many methods implementing AVL-tree+linked-list behavior and iteration support.

5. Local Symptom Summary:  
No symptom of Refused Bequest: the class provides many meaningful overrides and a full, coherent implementation of map behavior rather than ignoring or lightly overriding inherited functionality. The clearest sign that this is not Refused Bequest is the large number of substantive method overrides and domain-specific internal machinery implementing the Map contract.

NO, I did not find Refused Bequest"
