file_path,analysis
AccessControlLogEntry.java,"NO, I did not find Shotgun Surgery

1. Repetitive or Similar Methods:
- Yes — the class contains several very small, repetitive getter methods (getCount, getReason, getContext, getObject, getUsername, getAgeSeconds, getClientInfo, getlogEntry). These are simple forwarders.

2. Duplicated or Repeated Logic:
- No — there is no duplicated complex logic across multiple methods. The only non-trivial logic is the single private parser getMapFromRawClientInfo; it is implemented once.

3. Widespread External Interactions:
- No — the class primarily interacts with java.util.Map, String and LinkedHashMap. It does not call many different external classes or APIs that would indicate broad coupling.

4. Change Impact Within the File:
- Some changes would require editing several places in this file:
  - If the incoming map key names change (e.g., ""count"" or ""age-seconds""), you must update the corresponding public static constants and the constructor that reads them.
  - If the type of COUNT changes (e.g., from long to int/Long), update the cast in the constructor and potentially getCount signature/return type and toString.
  - If the CLIENT_INFO string format changes, getMapFromRawClientInfo must be rewritten and any code depending on its output may need adjustment.
  - If a new field is added/removed, constructor, getters, toString and logEntry handling would need updates.

5. Summary Judgment:
- Overall, this single file shows minor symptoms (many trivial getter methods and a few constants mapped to input keys) but no strong signs of Shotgun Surgery by itself. The necessary changes appear localized to this class (constructor, constants, parser, a few getters/toString). If many other classes followed the same pattern across the codebase, that repetition could contribute to Shotgun Surgery, but in this file alone the impact of a small change is limited and localized."
Preconditions.java,"YES, I found Shotgun Surgery

1. Repetitive or Similar Methods:
Yes — the file contains a large number of nearly identical overloads for checkArgument, checkState, and checkNotNull (many primitive/object parameter variants). Most methods do the same small task: test a boolean or null and throw an exception.

2. Duplicated or Repeated Logic:
Yes — the same guard-and-throw pattern is repeated everywhere: if (!condition) { throw new X(lenientFormat(...)); } or if (obj == null) { throw new X(...); } (plus a few helper methods that duplicate similar message-building logic).

3. Widespread External Interactions:
No — methods interact with a small set of external utilities (Strings.lenientFormat, Logger, Java8Usage.performCheck()). They do not call many different external classes; interaction surface is limited and focused.

4. Change Impact Within the File:
Yes — many kinds of changes would require edits in many methods. Examples:
- Changing the message formatting API (signature or semantics of lenientFormat) would require updating all overloads that call it.
- Changing the exception types or the message construction convention (e.g., adding error codes, different placeholders) would force touching many methods.
- Adding a new behavior (logging, attaching metadata to exceptions, or changing the return/annotation strategy) would require updating every overload variant.
- Altering nullness annotations or generic bounds on checkNotNull would require many signature updates.

5. Summary Judgment:
Yes — the file exhibits symptoms of Shotgun Surgery: dozens of near-duplicate overloads and repeated guard/throw logic create a large edit surface where small cross-cutting changes (formatting, exception handling, added behavior) would require making many similar edits across many methods."
FileRefreshableDataSource.java,"NO, I did not find Shotgun Surgery

1. Repetitive or Similar Methods:
- The file has several overloaded constructors that forward to a main constructor (similar small forwarding tasks).
- Other methods are distinct (firstLoad, readSource, isModified, close) and not numerous repetitive helpers.

2. Duplicated or Repeated Logic:
- No significant duplicated logic. Validation and initialization are centralized in the main constructor; file I/O is implemented in a single readSource method.

3. Widespread External Interactions:
- The class interacts with a handful of external types (File, FileInputStream, FileChannel, Charset, Converter, RecordLog, and its superclass AutoRefreshDataSource) but interactions are localized to file I/O and lifecycle methods — not many different subsystems touched repeatedly across methods.

4. Change Impact Within the File:
- Some changes would require editing multiple places, for example:
  - Changing the buffering strategy (removing the byte[] buf) would require updates to constructors, readSource(), and close().
  - Changing how lastModified is initialized/checked would affect the constructor, firstLoad(), and isModified().
  - Changing error/logging behavior or file-reading semantics would primarily affect readSource() and firstLoad().
  - Changing the constructor signature or Converter type would require updating all overloaded constructors that forward to it.
- However, most behavior is centralized, so the number of places to edit is limited.

5. Summary Judgment:
- Evidence against strong Shotgun Surgery: logic is centralized (main constructor, single readSource), few methods, and limited external interactions.
- Minor signs that could increase change spread: multiple forwarding constructors and file-related state (buf, lastModified) used across a few methods — changes to those concerns would require edits in the constructors, readSource, isModified, and close. Overall, not a pronounced Shotgun Surgery smell in this file."
SaSecureUtil.java,"YES, I found Shotgun Surgery

1. Repetitive or Similar Methods:
Yes. The file contains many similar small methods — notably multiple RSA methods (rsaEncryptByPublic, rsaEncryptByPrivate, rsaDecryptByPublic, rsaDecryptByPrivate) that follow the same structure, plus several digest methods (md5, sha1, sha256) that perform similar byte-to-hex conversions and error handling.

2. Duplicated or Repeated Logic:
Yes. Very similar logic repeats across RSA methods (key retrieval, Cipher.getInstance/init, split/looping and aggregation). Hex/byte conversion logic is duplicated in bytesToHexString, hexStringToBytes and used repeatedly. Try/catch-wrapping of exceptions is repeated across many methods.

3. Widespread External Interactions:
Yes. Methods frequently interact with many external classes (Cipher, KeyFactory, KeyPairGenerator, MessageDigest, KeyGenerator, SecureRandom, Base64, RSA key types, SecretKey/Spec). These interactions are scattered across many methods, so a change in how external APIs are used would touch many methods.

4. Change Impact Within the File:
High likelihood. Examples:
- Changing RSA algorithm/padding (e.g., from ""RSA"" to ""RSA/ECB/OAEPWithSHA-256AndMGF1Padding"") would require edits in all rsaEncrypt*/rsaDecrypt* methods and potentially key handling.
- Changing the encoding format used for encrypted output (currently hex for RSA, Base64 for AES) would require updating all encryption/decryption methods and conversion helpers (bytesToHexString/hexStringToBytes).
- Changing key derivation/random seed behavior (getSecretKey) or exception handling policy would require touching multiple methods (AES methods, RSA key generation, many try/catch blocks).
- Changing block-splitting logic or split length calculation would require updating every RSA method that performs splitting.

5. Summary Judgment:
Yes — this file shows signs of Shotgun Surgery. Evidence: multiple near-duplicate RSA methods and repeated conversion/exception patterns, many scattered uses of algorithm/encoding strings and external crypto APIs. Small requirement changes (algorithm, padding, output encoding, or shared helper behavior) would likely require making similar edits in multiple places across this file."
ClassLoaderCommand.java,"YES, I found Shotgun Surgery

1. Repetitive or Similar Methods:
- Yes. The file contains many small, similar ""process*"" methods (processClassLoaderStats, processClassLoaders, processClassLoader, processResources, processLoadClass, processAllClasses, processClassSet) that perform related but slightly different tasks (querying/formatting classloader info and appending results).

2. Duplicated or Repeated Logic:
- Yes. Very similar logic is repeated in several places: multiple iterations over inst.getAllLoadedClasses() with filtering/grouping, repeated null checks for classLoader (bootstrap vs non-bootstrap), and repeated creation of comparators/TreeSet for sorting class names.

3. Widespread External Interactions:
- Yes. Methods interact with many external types across the file (Instrumentation, CommandProcess, ClassUtils, ClassLoaderUtils, ResultUtils, multiple VO/model classes, URLClassLoader, etc.). Many methods construct and populate the same model classes (ClassLoaderModel, ClassLoaderVO, ClassSetVO, RowAffectModel), so a change to those external models or to the way results are appended would affect many methods.

4. Change Impact Within the File:
- Yes. Several single changes would likely require edits in many places. Examples:
  - Changing the structure or API of ClassLoaderModel/ClassLoaderVO/ClassSetVO would force updates across most process* methods that build or append those models.
  - Changing how Instrumentation.getAllLoadedClasses() is interpreted (e.g., treating bootstrap classes differently) would require updating getAllClasses, getAllClassLoaders, and getAllClassLoaderInfo.
  - Altering the hashCode-based identification or the hashCode string format would require changes where hashCode is parsed, compared, and printed (process(), getAllClasses(), ClassLoaderInfo.hashCodeStr()).
  - Modifying interruption handling or pagination would affect processClassSet, getAllClasses and various process* methods that rely on checkInterrupted and ResultUtils.

5. Summary Judgment:
- The file shows signs of Shotgun Surgery. Evidence: many small, similar methods spread across the class that each perform slight variations of classloader-related tasks; repeated iterations/filters over Instrumentation#getAllLoadedClasses; frequent construction/population of shared model objects in many places; and tight coupling to several external model/APIs (ClassLoaderModel, ClassLoaderVO, CommandProcess, Instrumentation). Small changes to models, classloader representation, or data gathering rules would require coordinated changes in many methods throughout this file."
AclException.java,"NO, I did not find Shotgun Surgery

1. Repetitive or Similar Methods:
- No. The file has a small number of constructors and simple getters/setters. The constructors are similar in that several initialize the same fields, but there are not ""many"" methods doing repetitive forwarding across the file.

2. Duplicated or Repeated Logic:
- Minor. There is repeated logic in multiple constructors that assign status and code (e.g., this.status = status; this.code = code;), but no large duplicated algorithms or business logic.

3. Widespread External Interactions:
- No. The class only extends RuntimeException and does not call or coordinate with many different classes.

4. Change Impact Within the File:
- Some impact. Changing the representation of status or code (e.g., renaming fields, changing status from String to an enum, adding a new required field) would require updating multiple constructors and possibly the getters/setters. Examples:
  - Changing status type to an enum: update all constructors that accept a String status and the get/set methods.
  - Adding a new required field (e.g., severity): add the field and update all constructors to initialize it.

5. Summary Judgment:
- The file itself shows only minor repetition (constructor field assignments) and does not exhibit strong signs of Shotgun Surgery. However, the pattern of multiple similar constructors means schema-like changes to the exception's fields would require edits in several places within this class (and would scale poorly if repeated across many exception classes elsewhere)."
GeneralAppIdDecoder.java,"YES, I found Shotgun Surgery

1. Repetitive or Similar Methods:
- Yes. The file contains several similarly structured methods: parseNumericBlock, parseAlphaBlock, parseIsoIec646Block; isStillNumeric, isStillAlpha, isStillIsoIec646; decodeNumeric, decodeAlphanumeric, decodeIsoIec646. These perform small, repetitive parsing/decoding tasks with similar control flow and bit-handling logic.

2. Duplicated or Repeated Logic:
- Yes. Bit extraction and range checks are repeated in many places (calls to extractNumericValueFromBitArray followed by threshold checks). Position handling (current.getPosition, setPosition, incrementPosition) and FNC1 handling are repeated across parse/ decode methods.

3. Widespread External Interactions:
- Yes. Methods interact with multiple types: BitArray, CurrentParsingState, DecodedNumeric, DecodedChar, DecodedInformation, BlockParsedResult, FieldParser, and exception types. Many methods rely on the same external contracts (bit widths, FNC1 semantics), so a change in those external classes/protocols would touch many methods here.

4. Change Impact Within the File:
- Likely yes. Examples:
  - Changing the bit encoding rules (e.g., different bit lengths or mapping ranges) would require edits in decodeNumeric, decodeAlphanumeric, decodeIsoIec646, isStill* methods, and possibly extractNumericValueFromBitArray usage points.
  - Changing the representation or semantics of FNC1 or special sentinel values forces updates in decodeNumeric, decodeAlphanumeric, decodeIsoIec646, and the parse*Block methods that check isFirstDigitFNC1 / isFNC1.
  - Modifying CurrentParsingState API (position/alpha/numeric/iso methods) would require updating many parse* methods that call current.getPosition(), setPosition(), incrementPosition(), setAlpha()/setNumeric()/setIsoIec646().
  - Changing how decoded results are represented (DecodedChar/DecodedNumeric/DecodedInformation/BlockParsedResult) would require edits across most decode/parse methods.

5. Summary Judgment:
- Evidence indicates Shotgun Surgery risk: many small, similar methods repeat bit-extraction and state/position handling logic; multiple places check the same numeric ranges and FNC1 semantics; and the file depends on several tightly coupled external types and encoding rules. A change in bit encoding, special-value semantics, or parsing state API would require coordinated edits in many methods throughout this file."
DuplicateRemovedScheduler.java,"NO, I did not find Shotgun Surgery

1. Repetitive or Similar Methods:
- No. The file contains a small set of distinct methods (getter/setter, push, two small predicates, and an empty hook). They are not many nor repetitively forwarding or updating similar fields.

2. Duplicated or Repeated Logic:
- No. There is no repeated or near-duplicate logic across multiple methods in this file.

3. Widespread External Interactions:
- Partially. The class interacts with a few external types (Request, Task, DuplicateRemover, HttpConstant), but those interactions are limited and focused. There is no evidence here of many methods each touching many different classes.

4. Change Impact Within the File:
- Moderate but localized. Changes that would require updates here include:
  - Changing the DuplicateRemover API (e.g., renaming or changing isDuplicate signature) would require updating push() and set/get usages.
  - Changing Request API (e.g., renaming getMethod/getExtra/getUrl or the Request.CYCLE_TRIED_TIMES key) would require edits to shouldReserved(), noNeedToRemoveDuplicate(), and push().
  - Changing the duplicate-removal business rule (e.g., adding more conditions when to bypass duplicate checks) would require modifying push() and probably adding/altering the predicate methods.
- These changes affect a few methods in this file (mostly push and the small predicate helpers), not many scattered places within the file.

5. Summary Judgment:
- Overall this file does not show strong signs of Shotgun Surgery. It is small and changes would be localized to a few cohesive methods. While changing shared external contracts (Request, DuplicateRemover) would require edits here, the file itself is not full of many repetitive places that would each need similar small edits."
SaTokenException.java,"NO, I did not find Shotgun Surgery

1. Repetitive or Similar Methods:
- No. The file has a few constructors and two small static helper methods; they are distinct and not a large set of repetitive forwarding methods.

2. Duplicated or Repeated Logic:
- No. There is no repeated business logic; methods either call super(...) or perform a single conditional throw.

3. Widespread External Interactions:
- No. The class only depends on SaFoxUtil.isEmpty(...) for one helper; it does not interact with many different classes or subsystems.

4. Change Impact Within the File:
- Low. A change to an exception payload (e.g., adding an error code field) would require modifying the three constructors and the two static helpers to propagate the new field. Example: adding an int errorCode would require updating constructors, adding a field, and updating throwBy/throwByNull to create exceptions with that code.

5. Summary Judgment:
- This file itself does not show signs of Shotgun Surgery. It’s small and centralized; only a few places would need edits for a local change (constructors and helpers), not many scattered changes across this file."
LinkedTreeMap.java,"YES, I found Shotgun Surgery

1. Repetitive or Similar Methods:
- Yes. There are several small, similar/delegating methods (get/containsKey/use of findByObject, put using find, clear delegating to header, EntrySet/KeySet methods forwarding to LinkedTreeMap methods, removeInternalByKey delegating to removeInternal).

2. Duplicated or Repeated Logic:
- Yes. Mirrored logic appears (rebalance has nearly symmetric branches for left/right cases; rotateLeft/rotateRight are symmetric; Node.first()/last() are similar; multiple null/height checks repeated).

3. Widespread External Interactions:
- Somewhat. The class interacts with many JDK types (Comparator, Map.Entry, AbstractSet, LinkedHashMap, exceptions, serialization). Several methods bridge to these APIs (entrySet/keySet, writeReplace, iterator methods), so changes to external contracts or how keys/values are treated could require edits in multiple places.

4. Change Impact Within the File:
- High. Example changes that would require editing many methods:
  - Changing Node layout/fields (e.g., renaming next/prev or adding metadata) would require updates in Node constructors, removeInternal, removeInternalByKey, iterator, header/clear, replaceInParent, and possibly rotation/rebalance code.
  - Changing iteration order representation would touch header usage, Node constructors, clear(), iterators, EntrySet/KeySet, removeInternal.
  - Changing comparison/equality semantics would require edits in find(), findByObject(), findByEntry(), constructors referencing NATURAL_ORDER, and places that assume comparable keys.
  - Replacing AVL balancing with a different algorithm would require large edits across rebalance(), rotateLeft(), rotateRight(), and removeInternal.

5. Summary Judgment:
- Evidence indicates this file shows symptoms of Shotgun Surgery: many small delegating methods and repeated/ mirrored logic, extensive use of the Node/iteration/header structure across many methods, and multiple touchpoints with external APIs. Small changes to Node structure, iteration semantics, or key comparison would require coordinated edits in numerous methods across this file."
